Industry,JupyterNotebookLevel,Expectations
Technology,Intermediate,
Technology,Beginner,At least an introduction and how jupyter can be applied to security with concrete technical examples (use case and at least the start of the implementation => skeleton) 
Technology,Advanced,
Consulting,Beginner,"meet other security professionals. share tools, tips, and knowledge. Basics and getting setup with jupyter notebooks."
Technology,Beginner,
Consulting,Beginner,
Technology,Intermediate,
Technology,Beginner,SOC Automation
,Beginner,
Technology,Beginner,
Finance,Beginner,
Consulting,Advanced,
Consulting,Beginner,Used Jupyter from scratch. Like from 0 to hero! But not to be hero! 
Finance,Beginner,Novel use cases that help automate data analysis.
Technology,Beginner,to find out how do you eat a jupyter notebook
Finance,Beginner,
Hotel & Food Services,Beginner,
Aerospace & Defense ,Beginner,It’s my first time and looking forward to know how it can be useful for my job or for personal use. 
Nuclear,Intermediate,Security use cases
Nonprofit,Beginner,Start
,Beginner,
Technology,Beginner,
Finance,,How to be a cool kid and use them 
other,Beginner,
Technology,Intermediate,"Not sure, but I'm looking forward to geeking out with peeps in notebooks on all the cyberz!"
Healthcare,Beginner,I am hoping to learn how to integrate Jupyter Notebooks in my normal workflows.
,Intermediate,
Technology,Intermediate,
Finance,Beginner,
Finance,Beginner,
Technology,Intermediate,
Technology,Beginner,
MSSP,Intermediate,
Retail,Beginner,Getting up to speed to be able to deploy my first one
Finance,Beginner,How its being used by other teams
construction,Beginner,
Finance,Beginner,How my team can leverage Jupyter notebook for infosec work.
Technology,Beginner,Tips and tricks on how to write good notebooks for information security purposes. Best way to analyze data relevant to security logs. 
Consulting,Beginner,Insight on Jupyter notebook 
Finance,Beginner,
"Combining industry and academia in cybersecurity, networking and IT",Advanced,New InfoSec notebooks and analitycal ideas for data science in cybersecurity
Consulting,Beginner,
Technology,Intermediate,
,Intermediate,Use cases I could potentially apply at my job as a security engineer working on vuln management and threat hunting.
Technology,Expert,
Technology,Intermediate,See new ideas and examples. It would be nice to learn more about templating and runbook type applications.
Consulting,Beginner,Introduction and basic level 
Technology,Beginner,Hoping to see cyber security relevant demonstrations as well as integrations into other security tools.
Consulting,Beginner,Jupyter notebook familiarization and best practices
Healthcare,Beginner,
Finance,Beginner,
